,var_assetsavg,var_assetturnover,var_bvps,var_cor,var_de,var_debtc,var_debtusd,var_divyield,var_ebit,var_ebitda,var_ebitdamargin,var_ev,var_grossmargin,var_invcapavg,var_investments,var_liabilities,var_liabilitiesnc,var_netmargin,var_opex,var_payoutratio,var_rnd,var_roe,var_roic,var_ros,var_shareswa,var_taxexp,var_tbvps,var_workingcapital
601,3.066991e-17,3.1837296,8.773145e-07,8.120184e-17,7.999251e-05,0.0,1.4984841e-12,0.0,8.639241e-16,4.4284788e-16,5.44785e-06,2.9965524e-13,1.3475138,3.313976e-17,0.0,6.5423673e-17,3.2929128e-16,1.2937056e-06,2.1286467e-15,0.0,0.0,0.0067038387,0.00030277474,4.5735633e-06,1.0518383e-11,3.5222101e-15,3.9680415e-07,1.1062282e-15
602,1.9686174e-15,2.3498344,5.888237e-07,2.4762e-15,3.4621688e-05,2.4461992e-15,1.7960045e-11,1.3073922,1.11727434e-13,5.848693e-14,1.5217962e-05,1.4262656e-10,2.4468014,1.6350676e-15,2.3710663e-15,2.910016e-15,5.6731548e-15,8.877498e-06,1.580929e-13,0.2165695,2.755905e-11,0.022129176,0.00079388963,1.2543337e-05,1.6109094e-09,6.996568e-13,3.538036e-07,3.517107e-14
603,5.2309674e-18,2.252032,1.9770003e-07,8.043271e-18,1.8692259e-05,9.1942846e-18,2.9473975e-14,0.0,-8.758963e-17,-2.7354147e-17,-2.7914605e-06,5.728748e-14,1.8971577,3.2235776e-18,0.0,6.94212e-18,1.38274555e-17,-3.2119588e-06,6.6607076e-16,0.0,8.386999e-14,-0.004881436,-0.000314695,-3.8490384e-06,2.1212147e-11,-3.4869684e-16,5.7078076e-08,1.3758226e-16
604,1.9351573e-17,8.758474,2.1535378e-07,7.6236724e-17,2.5772006e-05,0.0,0.0,0.0,1.4455049e-15,7.755767e-16,5.4928737e-06,1.5553581e-12,2.761517,8.264666e-18,1.299562e-16,2.7663156e-17,1.7366692e-17,2.721243e-06,9.618932e-15,0.0,0.0,0.02317055,0.0020312131,4.437715e-06,5.6280137e-11,1.24799395e-14,1.146315e-07,2.8053784e-16
605,4.2061082e-17,4.099985,7.2895716e-07,1.6152151e-16,3.4923873e-05,7.059706e-17,7.2784443e-13,1.4941627,6.2885314e-16,4.1384955e-16,2.8815077e-06,4.4034906e-13,0.9574441,3.5510794e-17,4.3577918e-18,6.273263e-17,1.3395426e-16,1.0260425e-06,3.2283166e-15,0.14623502,2.0258915e-13,0.00436075,0.00020502857,1.9018778e-06,2.780295e-11,3.8379613e-15,4.0781023e-07,2.0217596e-15
607,5.64143e-18,0.90338653,5.081209e-07,0.0,1.9987334e-05,0.0,8.297738e-14,0.0,-5.152857e-16,-2.1162578e-16,-4.98861e-05,6.36267e-13,4.4326115,1.0773456e-18,4.515269e-17,1.2349208e-17,2.9043496e-17,-5.2997322e-05,1.2110318e-15,0.0,5.484143e-13,-0.07048793,-0.005557228,-5.243749e-05,1.3710875e-11,6.878893e-17,2.4794775e-07,9.434073e-16
608,9.7764344e-17,1.0217791,3.922202e-07,6.277062e-17,2.1929949e-05,2.2359238e-20,1.4383853e-12,0.0,-2.578161e-15,-6.3204836e-16,-7.608981e-06,1.8259498e-12,2.1010578,6.803957e-17,4.5953327e-16,1.1836232e-16,3.38054e-16,-1.3204721e-05,8.135209e-15,0.0,2.2682648e-12,-0.011975789,-0.0004410498,-1.3403711e-05,1.552481e-10,-1.3475018e-16,1.1788579e-07,1.5816737e-15
609,8.824929e-18,3.12196,2.2259071e-08,3.33084e-17,0.00011094481,3.8279015e-18,3.181906e-14,0.0,-1.9102835e-15,-7.9238873e-16,-3.457809e-05,9.762546e-14,-0.053191338,3.9515923e-18,0.0,1.3173971e-17,4.81019e-18,-4.202313e-05,2.166865e-15,0.0,1.3644054e-13,-0.12529019,-0.005616829,-3.599983e-05,6.0206944e-11,1.1056425e-15,2.6290286e-08,1.2095036e-16
610,1.0161767e-16,1.642053,2.819117e-07,1.3941487e-16,5.6119943e-06,0.0,0.0,2.5213995,1.0568929e-15,9.338522e-16,6.70851e-06,3.38889e-12,1.334216,5.557064e-17,2.6755558e-16,4.012564e-17,4.4089236e-17,2.2305271e-06,3.1618183e-15,1.2366725,9.731739e-13,0.0022780034,0.00022171694,3.3056447e-06,2.8683386e-10,7.79592e-15,1.0483206e-07,5.517975e-15
611,1.2934889e-17,3.0112884,-5.913457e-07,2.9797276e-17,-0.0002948024,0.0,0.0,0.0,4.5239564e-16,2.0583251e-16,6.3483217e-06,8.514345e-15,1.5913075,3.3148473e-18,0.0,5.10188e-17,2.3528974e-16,5.531707e-06,1.1569479e-15,0.0,8.317534e-14,-0.0367084,0.0015853953,6.022613e-06,3.3025171e-12,7.1797657e-16,7.9795956e-07,5.497018e-16
614,1.7707193e-16,4.637899,9.775351e-07,8.5771255e-16,6.432209e-05,5.8134018e-18,4.886815e-12,1.2140071,2.6058738e-15,1.6919861e-15,2.4762955e-06,2.5352166e-12,0.55407643,1.4076277e-16,0.0,3.665402e-16,1.1542075e-15,1.070653e-06,7.851771e-15,0.108790755,1.1729063e-13,0.0065736673,0.00021456477,1.6301809e-06,6.575343e-11,4.2325377e-15,6.136716e-07,5.866243e-15
616,1.7621013e-17,0.73351896,-1.5811617e-07,1.6993124e-17,-0.0001325294,0.0,1.2723199e-12,0.0,-9.968897e-16,-3.2977658e-16,-3.0661042e-05,2.8564542e-13,-0.44326115,2.3827328e-17,0.0,7.6014424e-17,3.732898e-16,-5.3844924e-05,1.1878979e-15,0.0,4.4916744e-14,0.07100862,-0.0004863468,-3.998472e-05,4.0937063e-11,4.7722294e-15,9.488636e-08,4.7181244e-16
617,2.0028826e-16,0.37576762,1.3620469e-05,0.0,3.621895e-05,3.185923e-16,6.3538554e-12,0.0,4.5573845e-15,2.0643934e-15,3.3002267e-05,2.1080776e-12,4.4326115,9.5284106e-17,7.3999955e-17,3.2436735e-16,1.5376131e-15,1.4676868e-05,2.6926102e-15,0.0,0.0,0.006248238,0.0005554843,3.142627e-05,7.422444e-12,2.8176609e-14,2.1098047e-06,2.703812e-15
620,2.3333485e-18,2.6149309,7.1492195e-08,5.283398e-18,9.108699e-06,0.0,0.0,0.0,-1.06505565e-16,-3.6511253e-17,-7.2037687e-06,4.0708105e-14,1.2189682,1.4904662e-18,0.0,1.2039037e-18,0.0,-8.9221085e-06,2.688089e-16,0.0,2.9353578e-14,-0.015750768,-0.00082965044,-9.056561e-06,2.0843107e-11,0.0,2.7972279e-08,1.216964e-16
