,0
0,2.237749e-16
1,0.6600343
2,1.5305993e-15
3,4.0251124e-15
4,-2.6867673e-15
5,6.2703257
6,1.3200686
7,-4.06825e-15
8,3.026172e-16
9,-5.3048514e-16
10,-6.583585e-16
11,2.8804895e-15
12,0.8800458
13,2.5301316
14,1.7849036e-14
15,-8.649002e-17
16,3.3081668e-16
17,-2.9162987e-15
18,2.6123115e-16
19,2.1209622e-15
20,1.8700973
21,4.8402514
22,5.4792503e-17
23,2.5301316
24,0.22001144
25,2.31012
26,1.1000571
27,1.515532e-14
28,-5.3811664e-16
29,-9.649038e-17
30,3.5534286e-15
31,2.4201257
32,1.8700973
33,5.9707463e-15
34,9.2843705e-15
35,-2.0610943e-16
36,7.810406
37,4.9502573
38,9.847561e-16
39,3.1901658
40,7.7322467e-16
41,3.745194e-15
42,-5.224721e-15
43,1.0083327e-15
44,7.071048e-15
45,-2.737907e-16
46,5.0954753e-15
47,1.01068084e-16
48,1.3769915e-15
49,-1.5914555e-15
50,8.154032e-15
51,0.33001715
52,0.4400229
53,-1.636031e-17
54,1.8491644e-17
55,3.562332e-16
56,6.80561e-15
57,4.4002285
58,8.006197e-16
59,1.840398e-14
60,2.059201e-15
61,2.3421477e-14
62,-1.1838551e-15
63,1.5837946e-14
64,8.2638774e-16
65,0.8800458
66,3.0899244e-14
67,3.7401946
68,2.31012
69,0.4400229
70,-3.2886753e-15
71,7.32817e-15
72,1.1000571
73,2.0094254e-15
74,-2.4821853e-16
75,2.4201257
76,2.0506157e-15
77,8.689116e-16
78,9.843825e-16
79,1.24918395e-14
80,8.0264495e-15
81,3.3001714
82,2.933225e-14
83,5.9411988e-15
84,-2.4012653e-15
85,-9.587281e-16
86,-3.1940647e-15
87,3.7401946
88,2.3960768e-14
89,1.6519202e-15
90,-1.3052439e-16
91,0.55002856
92,3.0838975e-14
93,1.080411e-16
94,7.7004004
95,5.6285043e-15
96,4.499301e-16
97,-2.4630088e-15
98,1.7882104e-15
99,-6.066042e-18
100,-1.3425521e-15
101,8.725672e-16
102,3.7518762e-14
103,-2.0319285e-15
104,9.624461e-16
105,2.5301316
106,3.656258e-16
107,6.5943747e-15
108,5.785243e-16
109,1.5400801
110,-2.0952304e-15
111,3.8782555e-15
112,3.6301887
113,4.2072015e-14
114,0.4400229
115,7.7381955e-14
116,2.3779863e-15
117,-1.1486344e-16
118,1.5323507e-14
119,-4.927485e-15
120,2.31012
121,2.2602366e-14
122,8.24786e-17
123,2.5301316
124,2.750143
125,2.974024e-15
126,6.459508e-16
127,1.7600915
128,-1.4168973e-16
129,0.22001144
130,0.6600343
131,0.77004004
132,2.6401372
133,-2.765528e-15
134,-1.3486702e-15
135,9.1253816e-15
136,-9.562822e-16
137,-6.739087e-16
138,1.4300743
139,-6.175622e-16
140,-1.635581e-15
141,1.0273136e-14
142,1.4300743
143,1.0198777e-15
144,4.9502573
145,1.17715455e-14
146,3.520183
147,5.640832e-15
148,-2.1215492e-15
149,8.145129e-16
150,3.533176e-15
151,2.2001143
152,1.4300743
153,0.77004004
154,1.0098316e-16
155,0.55002856
156,3.952026e-15
157,2.7043e-14
158,3.979715e-15
159,2.9701545
160,-3.0594377e-16
161,2.4541054e-15
162,-7.3573265e-15
163,3.625341e-15
164,7.421704e-15
165,1.8071717e-14
166,-1.1645822e-15
167,1.8700973
168,-2.8288616e-16
169,2.0451367e-15
170,3.1901658
171,1.3052762e-16
172,1.3200686
173,1.3658642e-13
174,1.1896291e-15
175,2.2950184e-15
176,2.680173e-14
177,1.5124403e-14
178,4.8154914e-16
179,2.31012
180,5.6612802e-15
181,8.2863116e-15
182,116.16604
183,1.166539e-15
184,1.9763555e-14
185,3.336323e-17
186,4.8402514
187,7.7919286e-16
188,-1.623449e-15
189,8.1382804e-16
190,-4.0140565e-15
191,1.2346055e-14
192,-1.7581737e-16
193,0.9900514
194,3.3001714
195,-1.659356e-16
196,0.9900514
197,2.5172117e-15
198,1.7620874e-16
199,-1.3382472e-15
200,4.4741953e-16
201,0.9900514
202,8.3206323e-16
203,1.1000571
204,-3.3710099e-15
205,-4.008773e-15
206,2.750143
207,3.716752e-17
208,3.3447372e-15
209,-2.1027446e-14
210,2.31012
211,1.4300743
212,2.1708602e-14
213,1.3494497e-14
214,1.4831864e-14
215,3.0801601
216,0.55002856
217,-2.7688546e-17
218,-2.0017939e-16
219,1.5578966e-15
220,2.6401372
221,1.3893193e-13
222,-2.5577956e-14
223,-5.9540063e-17
224,2.2287813e-15
225,1.9967061e-15
226,6.226303e-15
227,1.3664249e-15
228,1.2100629
229,4.825341e-15
230,1.2512679e-15
231,3.2234165e-15
232,-3.654497e-15
233,-3.6345375e-15
234,8.140423
235,2.3801389e-15
236,10.670555
237,2.4201257
238,-7.279544e-15
239,-9.808398e-16
240,4.915353e-15
241,1.5400801
242,-4.196141e-15
243,-5.084941e-16
244,2.0166654e-15
245,6.6811583e-15
246,1.2765105e-14
247,0.77004004
248,-3.0273464e-15
249,7.860612e-15
250,-2.47717e-16
251,0.77004004
252,-2.0140237e-15
253,0.55002856
254,4.0200736e-14
255,3.4101772
256,-1.8597045e-15
257,-3.5838616e-15
258,0.55002856
259,-1.2586058e-15
260,1.2100629
261,3.4860172e-15
262,1.705585e-14
263,-1.0265015e-14
264,-9.932459e-15
265,2.1104739e-14
266,7.807583e-15
267,1.0063409e-15
268,-3.4416365e-16
269,0.22001144
270,11.9906225
271,5.9085207e-15
272,6.6824303e-16
273,7.4641666e-16
274,-6.9079e-16
275,8.892553e-16
276,-4.3727356e-15
277,-1.5386222e-15
278,9.829532e-15
279,0.6600343
280,2.0901086
281,3.8502002
282,1.9801028
283,0.9900514
284,3.6819506e-14
285,1.8858933e-14
286,4.730246
287,4.0702114
288,2.31012
289,7.687632e-15
290,5.282153e-15
291,5.071896e-15
292,2.4201257
293,-5.963604e-15
294,2.2293682e-17
295,-4.9692624e-14
296,-3.3840688e-15
297,3.777559e-15
298,-2.53541e-15
299,-1.4313902e-15
300,2.8510398e-16
301,2.5301316
302,5.1659196e-17
303,8.5143884e-16
304,-1.1907053e-16
305,-2.6483165e-15
306,-1.35487985e-14
307,1.19423734e-14
308,6.3803315
309,1.0801468e-16
310,-4.7705505e-15
311,3.3240931e-15
312,-1.6943995e-15
313,8.725672e-16
314,1.0614545e-15
315,7.911293e-15
316,4.716837e-16
317,2.5622725e-16
318,-6.5763723e-15
319,1.4079216e-15
320,5.7427805e-15
321,1.3200686
322,-6.9661644e-17
323,3.7401946
324,-1.0636389e-15
325,1.14698095e-14
326,-2.7838436e-14
327,7.992108e-15
328,2.1757524e-14
329,3.5471669e-15
330,1.6519006e-14
331,-4.337142e-17
332,4.637587e-15
333,4.9502573
334,3.2857078e-16
335,-1.6024134e-15
336,0.9900514
337,6.0846315e-16
338,-4.0311653e-15
339,5.4750922e-14
340,1.094314e-14
341,1.4388465e-16
342,1.4084958e-15
343,-3.815834e-15
344,6.921354e-15
345,-1.4636772e-16
346,2.4201257
347,1.3200686
348,3.8502002
349,5.2074427e-14
350,1.967352e-15
351,-5.655117e-17
352,2.271537e-15
353,-5.6180354e-15
354,-4.138606e-17
355,0.4400229
356,-7.9347744e-16
357,6.0503144
358,-1.934089e-15
359,5.39028
360,-1.3317897e-15
361,0.33001715
362,-5.067102e-16
363,2.750143
364,8.538443e-16
365,-2.8851427e-15
366,1.3200686
367,-3.848023e-16
368,2.2001143
369,0.77004004
370,6.733307e-16
371,1.0811252e-16
372,1.6500857
373,-3.760555e-15
374,0.22001144
375,1.244517e-16
376,6.7022913e-15
377,1.3200686
378,5.8303027
379,-5.1085857e-15
380,-6.437636e-15
381,8.015785e-15
382,1.9004498e-16
383,1.4300743
384,1.9809432e-16
385,1.5675827e-13
386,1.2868032e-14
387,8.4171226e-16
388,2.0901086
389,3.1406442e-15
390,2.0297345e-15
391,-6.5315626e-16
392,2.0819244e-15
393,7.9094336e-15
394,1.2100629
395,2.0901086
396,-3.193368e-16
397,1.2243689e-16
398,5.2304936e-16
399,9.8746356e-15
400,4.1802173
401,1.2408969e-15
402,-2.8332329e-15
403,1.0218346e-15
404,8.900645e-15
405,4.7133106e-16
406,3.042805e-14
407,2.0901086
408,1.4300743
409,3.1901658
410,3.5515698e-15
411,0.8800458
412,1.5400801
413,7.1767487e-16
414,-6.641334e-16
415,-2.771594e-15
416,5.384884e-15
417,4.1937876e-15
418,5.060263
419,2.8601487
420,5.557923e-14
421,11.440595
422,1.1283132e-14
423,0.8800458
424,1.4300743
425,9.9227724e-15
426,0.6600343
427,1.5226254e-14
428,6.026906e-16
429,-6.697106e-16
430,-1.7581737e-16
431,-1.2064281e-14
432,2.4201257
